Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4111.17it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 72

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  2.87it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  2.87it/s]
Iter 1: Val loss 3.053, Val took 0.357s
Iter 1: Train loss 3.143, Learning Rate 1.000e-04, It/sec 0.379, Tokens/sec 11.737, Trained Tokens 31, Peak mem 1.124 GB
Iter 2: Train loss 2.934, Learning Rate 1.000e-04, It/sec 6.218, Tokens/sec 192.743, Trained Tokens 62, Peak mem 1.342 GB
Iter 3: Train loss 2.043, Learning Rate 1.000e-04, It/sec 6.833, Tokens/sec 348.473, Trained Tokens 113, Peak mem 1.404 GB
Iter 4: Train loss 3.235, Learning Rate 1.000e-04, It/sec 1.881, Tokens/sec 54.562, Trained Tokens 142, Peak mem 1.404 GB
Iter 5: Train loss 1.172, Learning Rate 1.000e-04, It/sec 6.704, Tokens/sec 194.421, Trained Tokens 171, Peak mem 1.404 GB
Iter 6: Train loss 1.146, Learning Rate 1.000e-04, It/sec 5.582, Tokens/sec 267.926, Trained Tokens 219, Peak mem 1.485 GB
Iter 7: Train loss 1.219, Learning Rate 1.000e-04, It/sec 6.268, Tokens/sec 194.304, Trained Tokens 250, Peak mem 1.485 GB
Iter 8: Train loss 0.540, Learning Rate 1.000e-04, It/sec 3.206, Tokens/sec 419.981, Trained Tokens 381, Peak mem 1.545 GB
Iter 9: Train loss 0.993, Learning Rate 1.000e-04, It/sec 5.664, Tokens/sec 169.925, Trained Tokens 411, Peak mem 1.545 GB
Iter 10: Train loss 0.768, Learning Rate 1.000e-04, It/sec 6.157, Tokens/sec 406.386, Trained Tokens 477, Peak mem 1.545 GB
Iter 11: Train loss 0.665, Learning Rate 1.000e-04, It/sec 4.860, Tokens/sec 442.268, Trained Tokens 568, Peak mem 1.703 GB
Iter 12: Train loss 0.975, Learning Rate 1.000e-04, It/sec 6.022, Tokens/sec 174.644, Trained Tokens 597, Peak mem 1.703 GB
Iter 13: Train loss 0.233, Learning Rate 1.000e-04, It/sec 7.803, Tokens/sec 226.297, Trained Tokens 626, Peak mem 1.703 GB
Iter 14: Train loss 0.195, Learning Rate 1.000e-04, It/sec 6.157, Tokens/sec 190.865, Trained Tokens 657, Peak mem 1.703 GB
Iter 15: Train loss 0.393, Learning Rate 1.000e-04, It/sec 5.109, Tokens/sec 541.591, Trained Tokens 763, Peak mem 1.703 GB
Iter 16: Train loss 0.244, Learning Rate 1.000e-04, It/sec 7.443, Tokens/sec 230.720, Trained Tokens 794, Peak mem 1.703 GB
Iter 17: Train loss 0.177, Learning Rate 1.000e-04, It/sec 7.528, Tokens/sec 225.835, Trained Tokens 824, Peak mem 1.703 GB
Iter 18: Train loss 0.210, Learning Rate 1.000e-04, It/sec 5.065, Tokens/sec 663.489, Trained Tokens 955, Peak mem 1.704 GB
Iter 19: Train loss 0.346, Learning Rate 1.000e-04, It/sec 6.851, Tokens/sec 349.392, Trained Tokens 1006, Peak mem 1.704 GB
