Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4878.36it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 288

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.90it/s]
Iter 1: Val loss 3.053, Val took 0.099s
Iter 1: Train loss 3.311, Learning Rate 1.000e-04, It/sec 6.864, Tokens/sec 212.776, Trained Tokens 31, Peak mem 1.315 GB
Iter 2: Train loss 3.431, Learning Rate 1.000e-04, It/sec 6.849, Tokens/sec 198.622, Trained Tokens 60, Peak mem 1.315 GB
Iter 3: Train loss 2.041, Learning Rate 1.000e-04, It/sec 5.480, Tokens/sec 268.512, Trained Tokens 109, Peak mem 1.461 GB
Iter 4: Train loss 0.894, Learning Rate 1.000e-04, It/sec 4.356, Tokens/sec 570.675, Trained Tokens 240, Peak mem 1.624 GB
Iter 5: Train loss 0.514, Learning Rate 1.000e-04, It/sec 4.795, Tokens/sec 628.149, Trained Tokens 371, Peak mem 1.739 GB
Iter 6: Train loss 0.819, Learning Rate 1.000e-04, It/sec 5.534, Tokens/sec 365.223, Trained Tokens 437, Peak mem 1.739 GB
Iter 7: Train loss 0.845, Learning Rate 1.000e-04, It/sec 6.154, Tokens/sec 313.867, Trained Tokens 488, Peak mem 1.739 GB
Iter 8: Train loss 1.115, Learning Rate 1.000e-04, It/sec 5.613, Tokens/sec 174.017, Trained Tokens 519, Peak mem 1.739 GB
Iter 9: Train loss 0.806, Learning Rate 1.000e-04, It/sec 5.756, Tokens/sec 293.546, Trained Tokens 570, Peak mem 1.739 GB
Iter 10: Train loss 0.520, Learning Rate 1.000e-04, It/sec 4.135, Tokens/sec 541.698, Trained Tokens 701, Peak mem 1.931 GB
Iter 11: Train loss 0.943, Learning Rate 1.000e-04, It/sec 6.705, Tokens/sec 207.854, Trained Tokens 732, Peak mem 1.931 GB
Iter 12: Train loss 0.815, Learning Rate 1.000e-04, It/sec 4.783, Tokens/sec 243.930, Trained Tokens 783, Peak mem 1.931 GB
Iter 13: Train loss 0.333, Learning Rate 1.000e-04, It/sec 6.223, Tokens/sec 186.702, Trained Tokens 813, Peak mem 1.931 GB
Iter 14: Train loss 0.408, Learning Rate 1.000e-04, It/sec 5.244, Tokens/sec 267.440, Trained Tokens 864, Peak mem 1.931 GB
Iter 15: Train loss 0.322, Learning Rate 1.000e-04, It/sec 6.786, Tokens/sec 210.370, Trained Tokens 895, Peak mem 1.931 GB
Iter 16: Train loss 0.322, Learning Rate 1.000e-04, It/sec 5.600, Tokens/sec 369.632, Trained Tokens 961, Peak mem 1.931 GB
Iter 17: Train loss 0.273, Learning Rate 1.000e-04, It/sec 6.790, Tokens/sec 203.699, Trained Tokens 991, Peak mem 1.931 GB
Iter 18: Train loss 0.392, Learning Rate 1.000e-04, It/sec 5.701, Tokens/sec 290.728, Trained Tokens 1042, Peak mem 1.931 GB
Iter 19: Train loss 0.346, Learning Rate 1.000e-04, It/sec 7.688, Tokens/sec 222.946, Trained Tokens 1071, Peak mem 1.931 GB
Iter 20: Train loss 0.299, Learning Rate 1.000e-04, It/sec 5.536, Tokens/sec 166.073, Trained Tokens 1101, Peak mem 1.931 GB
Iter 21: Train loss 0.174, Learning Rate 1.000e-04, It/sec 5.160, Tokens/sec 469.522, Trained Tokens 1192, Peak mem 1.931 GB
Iter 22: Train loss 0.203, Learning Rate 1.000e-04, It/sec 4.444, Tokens/sec 555.562, Trained Tokens 1317, Peak mem 1.931 GB
Iter 23: Train loss 0.246, Learning Rate 1.000e-04, It/sec 6.040, Tokens/sec 295.941, Trained Tokens 1366, Peak mem 1.931 GB
Iter 24: Train loss 0.122, Learning Rate 1.000e-04, It/sec 6.759, Tokens/sec 446.117, Trained Tokens 1432, Peak mem 1.931 GB
Iter 25: Train loss 0.376, Learning Rate 1.000e-04, It/sec 6.098, Tokens/sec 189.031, Trained Tokens 1463, Peak mem 1.931 GB
Iter 26: Train loss 0.166, Learning Rate 1.000e-04, It/sec 6.006, Tokens/sec 300.302, Trained Tokens 1513, Peak mem 1.931 GB
Iter 27: Train loss 0.137, Learning Rate 1.000e-04, It/sec 5.660, Tokens/sec 515.053, Trained Tokens 1604, Peak mem 1.931 GB
Iter 28: Train loss 0.315, Learning Rate 1.000e-04, It/sec 4.818, Tokens/sec 149.350, Trained Tokens 1635, Peak mem 1.931 GB
Iter 29: Train loss 0.156, Learning Rate 1.000e-04, It/sec 6.829, Tokens/sec 320.984, Trained Tokens 1682, Peak mem 1.931 GB
Iter 30: Train loss 0.129, Learning Rate 1.000e-04, It/sec 7.462, Tokens/sec 231.309, Trained Tokens 1713, Peak mem 1.931 GB
Iter 31: Train loss 0.127, Learning Rate 1.000e-04, It/sec 6.834, Tokens/sec 348.519, Trained Tokens 1764, Peak mem 1.931 GB
Iter 32: Train loss 0.082, Learning Rate 1.000e-04, It/sec 6.549, Tokens/sec 334.023, Trained Tokens 1815, Peak mem 1.931 GB
Iter 33: Train loss 0.174, Learning Rate 1.000e-04, It/sec 4.760, Tokens/sec 337.976, Trained Tokens 1886, Peak mem 1.931 GB
Iter 34: Train loss 0.142, Learning Rate 1.000e-04, It/sec 6.657, Tokens/sec 199.715, Trained Tokens 1916, Peak mem 1.931 GB
Iter 35: Train loss 0.123, Learning Rate 1.000e-04, It/sec 7.457, Tokens/sec 223.702, Trained Tokens 1946, Peak mem 1.931 GB
Iter 36: Train loss 0.096, Learning Rate 1.000e-04, It/sec 6.747, Tokens/sec 209.163, Trained Tokens 1977, Peak mem 1.931 GB
Iter 37: Train loss 0.213, Learning Rate 1.000e-04, It/sec 6.806, Tokens/sec 347.103, Trained Tokens 2028, Peak mem 1.931 GB
Iter 38: Train loss 0.335, Learning Rate 1.000e-04, It/sec 4.830, Tokens/sec 420.251, Trained Tokens 2115, Peak mem 1.931 GB
Iter 39: Train loss 0.211, Learning Rate 1.000e-04, It/sec 4.656, Tokens/sec 609.959, Trained Tokens 2246, Peak mem 1.931 GB
Iter 40: Train loss 0.209, Learning Rate 1.000e-04, It/sec 5.986, Tokens/sec 293.293, Trained Tokens 2295, Peak mem 1.931 GB
Iter 41: Train loss 0.259, Learning Rate 1.000e-04, It/sec 6.815, Tokens/sec 347.560, Trained Tokens 2346, Peak mem 1.931 GB
Iter 42: Train loss 0.095, Learning Rate 1.000e-04, It/sec 5.579, Tokens/sec 172.946, Trained Tokens 2377, Peak mem 1.931 GB
Iter 43: Train loss 0.201, Learning Rate 1.000e-04, It/sec 4.759, Tokens/sec 528.250, Trained Tokens 2488, Peak mem 1.931 GB
Iter 44: Train loss 0.116, Learning Rate 1.000e-04, It/sec 4.304, Tokens/sec 538.003, Trained Tokens 2613, Peak mem 1.931 GB
Iter 45: Train loss 0.123, Learning Rate 1.000e-04, It/sec 5.657, Tokens/sec 169.714, Trained Tokens 2643, Peak mem 1.931 GB
Iter 46: Train loss 0.301, Learning Rate 1.000e-04, It/sec 6.095, Tokens/sec 292.575, Trained Tokens 2691, Peak mem 1.931 GB
Iter 47: Train loss 0.145, Learning Rate 1.000e-04, It/sec 6.075, Tokens/sec 431.329, Trained Tokens 2762, Peak mem 1.931 GB
Iter 48: Train loss 0.183, Learning Rate 1.000e-04, It/sec 6.040, Tokens/sec 295.944, Trained Tokens 2811, Peak mem 1.931 GB
Iter 49: Train loss 0.100, Learning Rate 1.000e-04, It/sec 6.133, Tokens/sec 190.132, Trained Tokens 2842, Peak mem 1.931 GB
Iter 50: Train loss 0.084, Learning Rate 1.000e-04, It/sec 6.677, Tokens/sec 200.307, Trained Tokens 2872, Peak mem 1.931 GB
Iter 51: Train loss 0.221, Learning Rate 1.000e-04, It/sec 6.091, Tokens/sec 432.452, Trained Tokens 2943, Peak mem 1.931 GB
Iter 52: Train loss 0.212, Learning Rate 1.000e-04, It/sec 5.668, Tokens/sec 164.376, Trained Tokens 2972, Peak mem 1.931 GB
Iter 53: Train loss 0.346, Learning Rate 1.000e-04, It/sec 5.983, Tokens/sec 424.806, Trained Tokens 3043, Peak mem 1.931 GB
Iter 54: Train loss 0.067, Learning Rate 1.000e-04, It/sec 5.982, Tokens/sec 179.450, Trained Tokens 3073, Peak mem 1.931 GB
Iter 55: Train loss 0.099, Learning Rate 1.000e-04, It/sec 6.283, Tokens/sec 188.504, Trained Tokens 3103, Peak mem 1.931 GB
Iter 56: Train loss 0.279, Learning Rate 1.000e-04, It/sec 5.410, Tokens/sec 254.263, Trained Tokens 3150, Peak mem 1.931 GB
Iter 57: Train loss 0.229, Learning Rate 1.000e-04, It/sec 5.121, Tokens/sec 363.596, Trained Tokens 3221, Peak mem 1.931 GB
Iter 58: Train loss 0.166, Learning Rate 1.000e-04, It/sec 6.760, Tokens/sec 344.767, Trained Tokens 3272, Peak mem 1.931 GB
Iter 59: Train loss 0.268, Learning Rate 1.000e-04, It/sec 5.481, Tokens/sec 717.983, Trained Tokens 3403, Peak mem 1.931 GB
Iter 60: Train loss 0.351, Learning Rate 1.000e-04, It/sec 6.016, Tokens/sec 306.822, Trained Tokens 3454, Peak mem 1.931 GB
Iter 61: Train loss 0.193, Learning Rate 1.000e-04, It/sec 5.630, Tokens/sec 287.133, Trained Tokens 3505, Peak mem 1.931 GB
Iter 62: Train loss 0.255, Learning Rate 1.000e-04, It/sec 4.843, Tokens/sec 537.619, Trained Tokens 3616, Peak mem 1.931 GB
Iter 63: Train loss 0.075, Learning Rate 1.000e-04, It/sec 5.144, Tokens/sec 159.450, Trained Tokens 3647, Peak mem 1.931 GB
Iter 64: Train loss 0.069, Learning Rate 1.000e-04, It/sec 5.494, Tokens/sec 164.820, Trained Tokens 3677, Peak mem 1.931 GB
Iter 65: Train loss 0.122, Learning Rate 1.000e-04, It/sec 6.796, Tokens/sec 210.681, Trained Tokens 3708, Peak mem 1.931 GB
Iter 66: Train loss 0.104, Learning Rate 1.000e-04, It/sec 7.517, Tokens/sec 233.029, Trained Tokens 3739, Peak mem 1.931 GB
Iter 67: Train loss 0.114, Learning Rate 1.000e-04, It/sec 6.853, Tokens/sec 212.440, Trained Tokens 3770, Peak mem 1.931 GB
Iter 68: Train loss 0.116, Learning Rate 1.000e-04, It/sec 7.335, Tokens/sec 374.063, Trained Tokens 3821, Peak mem 1.931 GB
Iter 69: Train loss 0.143, Learning Rate 1.000e-04, It/sec 6.179, Tokens/sec 191.563, Trained Tokens 3852, Peak mem 1.931 GB
Iter 70: Train loss 0.106, Learning Rate 1.000e-04, It/sec 7.474, Tokens/sec 224.212, Trained Tokens 3882, Peak mem 1.931 GB
Iter 71: Train loss 0.180, Learning Rate 1.000e-04, It/sec 6.117, Tokens/sec 287.514, Trained Tokens 3929, Peak mem 1.931 GB
Iter 72: Train loss 0.126, Learning Rate 1.000e-04, It/sec 6.044, Tokens/sec 181.319, Trained Tokens 3959, Peak mem 1.931 GB
Iter 73: Train loss 0.090, Learning Rate 1.000e-04, It/sec 6.814, Tokens/sec 197.595, Trained Tokens 3988, Peak mem 1.931 GB
Iter 74: Train loss 0.119, Learning Rate 1.000e-04, It/sec 5.023, Tokens/sec 457.122, Trained Tokens 4079, Peak mem 1.931 GB
Iter 75: Train loss 0.205, Learning Rate 1.000e-04, It/sec 6.784, Tokens/sec 345.995, Trained Tokens 4130, Peak mem 1.931 GB
Iter 76: Train loss 0.068, Learning Rate 1.000e-04, It/sec 7.340, Tokens/sec 220.199, Trained Tokens 4160, Peak mem 1.931 GB
Iter 77: Train loss 0.111, Learning Rate 1.000e-04, It/sec 5.632, Tokens/sec 512.553, Trained Tokens 4251, Peak mem 1.931 GB
Iter 78: Train loss 0.054, Learning Rate 1.000e-04, It/sec 7.394, Tokens/sec 229.227, Trained Tokens 4282, Peak mem 1.931 GB
Iter 79: Train loss 0.147, Learning Rate 1.000e-04, It/sec 3.858, Tokens/sec 482.256, Trained Tokens 4407, Peak mem 1.931 GB
