Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 5346.85it/s]
Loading datasets
Training
Trainable parameters: 0.289% (4.981M/1720.575M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  4.72it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  4.71it/s]
Iter 1: Val loss 3.769, Val took 0.222s
Iter 1: Train loss 3.681, Learning Rate 1.000e-04, It/sec 2.386, Tokens/sec 71.582, Trained Tokens 30, Peak mem 2.412 GB
Iter 2: Train loss 1.428, Learning Rate 1.000e-04, It/sec 2.628, Tokens/sec 202.359, Trained Tokens 107, Peak mem 2.421 GB
Iter 3: Train loss 2.416, Learning Rate 1.000e-04, It/sec 2.356, Tokens/sec 117.823, Trained Tokens 157, Peak mem 2.520 GB
Iter 4: Train loss 2.091, Learning Rate 1.000e-04, It/sec 2.275, Tokens/sec 161.523, Trained Tokens 228, Peak mem 2.520 GB
Iter 5: Train loss 0.643, Learning Rate 1.000e-04, It/sec 2.134, Tokens/sec 140.865, Trained Tokens 294, Peak mem 2.612 GB
Iter 6: Train loss 0.777, Learning Rate 1.000e-04, It/sec 2.401, Tokens/sec 122.471, Trained Tokens 345, Peak mem 2.612 GB
Iter 7: Train loss 0.716, Learning Rate 1.000e-04, It/sec 2.386, Tokens/sec 169.437, Trained Tokens 416, Peak mem 2.612 GB
Iter 8: Train loss 1.050, Learning Rate 1.000e-04, It/sec 2.294, Tokens/sec 71.109, Trained Tokens 447, Peak mem 2.612 GB
Iter 9: Train loss 0.338, Learning Rate 1.000e-04, It/sec 2.659, Tokens/sec 204.721, Trained Tokens 524, Peak mem 2.612 GB
Iter 10: Train loss 0.880, Learning Rate 1.000e-04, It/sec 2.846, Tokens/sec 88.230, Trained Tokens 555, Peak mem 2.612 GB
Iter 11: Train loss 0.617, Learning Rate 1.000e-04, It/sec 2.731, Tokens/sec 139.285, Trained Tokens 606, Peak mem 2.612 GB
Iter 12: Train loss 0.442, Learning Rate 1.000e-04, It/sec 1.800, Tokens/sec 225.015, Trained Tokens 731, Peak mem 2.893 GB
Iter 13: Train loss 0.243, Learning Rate 1.000e-04, It/sec 2.191, Tokens/sec 65.733, Trained Tokens 761, Peak mem 2.893 GB
Iter 14: Train loss 0.229, Learning Rate 1.000e-04, It/sec 2.175, Tokens/sec 67.431, Trained Tokens 792, Peak mem 2.893 GB
Iter 15: Train loss 0.292, Learning Rate 1.000e-04, It/sec 3.027, Tokens/sec 87.795, Trained Tokens 821, Peak mem 2.893 GB
Iter 16: Train loss 0.185, Learning Rate 1.000e-04, It/sec 2.075, Tokens/sec 271.790, Trained Tokens 952, Peak mem 2.893 GB
Iter 17: Train loss 0.225, Learning Rate 1.000e-04, It/sec 3.284, Tokens/sec 95.245, Trained Tokens 981, Peak mem 2.893 GB
Iter 18: Train loss 0.230, Learning Rate 1.000e-04, It/sec 2.636, Tokens/sec 134.448, Trained Tokens 1032, Peak mem 2.893 GB
Iter 19: Train loss 0.159, Learning Rate 1.000e-04, It/sec 2.692, Tokens/sec 207.304, Trained Tokens 1109, Peak mem 2.893 GB
Iter 20: Train loss 0.199, Learning Rate 1.000e-04, It/sec 2.064, Tokens/sec 63.995, Trained Tokens 1140, Peak mem 2.893 GB
Iter 21: Train loss 0.153, Learning Rate 1.000e-04, It/sec 2.261, Tokens/sec 174.117, Trained Tokens 1217, Peak mem 2.893 GB
Iter 22: Train loss 0.164, Learning Rate 1.000e-04, It/sec 2.704, Tokens/sec 208.220, Trained Tokens 1294, Peak mem 2.893 GB
Iter 23: Train loss 0.106, Learning Rate 1.000e-04, It/sec 2.758, Tokens/sec 85.509, Trained Tokens 1325, Peak mem 2.893 GB
Iter 24: Train loss 0.226, Learning Rate 1.000e-04, It/sec 2.443, Tokens/sec 114.837, Trained Tokens 1372, Peak mem 2.893 GB
Iter 25: Train loss 0.171, Learning Rate 1.000e-04, It/sec 2.264, Tokens/sec 160.710, Trained Tokens 1443, Peak mem 2.893 GB
Iter 26: Train loss 0.104, Learning Rate 1.000e-04, It/sec 2.718, Tokens/sec 209.270, Trained Tokens 1520, Peak mem 2.893 GB
Iter 27: Train loss 0.229, Learning Rate 1.000e-04, It/sec 1.748, Tokens/sec 229.017, Trained Tokens 1651, Peak mem 3.156 GB
Iter 28: Train loss 0.117, Learning Rate 1.000e-04, It/sec 2.700, Tokens/sec 207.905, Trained Tokens 1728, Peak mem 3.156 GB
Iter 29: Train loss 0.062, Learning Rate 1.000e-04, It/sec 2.414, Tokens/sec 185.887, Trained Tokens 1805, Peak mem 3.156 GB
Iter 30: Train loss 0.221, Learning Rate 1.000e-04, It/sec 2.049, Tokens/sec 104.510, Trained Tokens 1856, Peak mem 3.156 GB
Iter 31: Train loss 0.094, Learning Rate 1.000e-04, It/sec 2.007, Tokens/sec 262.953, Trained Tokens 1987, Peak mem 3.156 GB
