Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 2548.87it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  1.72it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  1.72it/s]
Iter 1: Val loss 3.053, Val took 0.591s
Iter 1: Train loss 3.035, Learning Rate 1.000e-04, It/sec 0.341, Tokens/sec 10.225, Trained Tokens 30, Peak mem 1.204 GB
Iter 2: Train loss 0.785, Learning Rate 1.000e-04, It/sec 2.489, Tokens/sec 355.986, Trained Tokens 173, Peak mem 1.583 GB
Iter 3: Train loss 1.991, Learning Rate 1.000e-04, It/sec 5.697, Tokens/sec 284.863, Trained Tokens 223, Peak mem 1.583 GB
Iter 4: Train loss 1.436, Learning Rate 1.000e-04, It/sec 1.735, Tokens/sec 123.199, Trained Tokens 294, Peak mem 1.583 GB
Iter 5: Train loss 0.837, Learning Rate 1.000e-04, It/sec 5.387, Tokens/sec 355.513, Trained Tokens 360, Peak mem 1.583 GB
Iter 6: Train loss 0.954, Learning Rate 1.000e-04, It/sec 6.253, Tokens/sec 318.911, Trained Tokens 411, Peak mem 1.583 GB
Iter 7: Train loss 0.886, Learning Rate 1.000e-04, It/sec 5.729, Tokens/sec 406.774, Trained Tokens 482, Peak mem 1.583 GB
Iter 8: Train loss 1.350, Learning Rate 1.000e-04, It/sec 3.200, Tokens/sec 99.210, Trained Tokens 513, Peak mem 1.583 GB
Iter 9: Train loss 0.497, Learning Rate 1.000e-04, It/sec 4.749, Tokens/sec 365.644, Trained Tokens 590, Peak mem 1.692 GB
Iter 10: Train loss 0.691, Learning Rate 1.000e-04, It/sec 6.649, Tokens/sec 206.127, Trained Tokens 621, Peak mem 1.692 GB
Iter 11: Train loss 0.607, Learning Rate 1.000e-04, It/sec 6.793, Tokens/sec 346.434, Trained Tokens 672, Peak mem 1.692 GB
Iter 12: Train loss 0.502, Learning Rate 1.000e-04, It/sec 4.006, Tokens/sec 500.718, Trained Tokens 797, Peak mem 1.752 GB
Iter 13: Train loss 0.225, Learning Rate 1.000e-04, It/sec 5.177, Tokens/sec 155.310, Trained Tokens 827, Peak mem 1.752 GB
Iter 14: Train loss 0.219, Learning Rate 1.000e-04, It/sec 5.148, Tokens/sec 159.588, Trained Tokens 858, Peak mem 1.752 GB
Iter 15: Train loss 0.297, Learning Rate 1.000e-04, It/sec 7.407, Tokens/sec 214.799, Trained Tokens 887, Peak mem 1.752 GB
Iter 16: Train loss 0.210, Learning Rate 1.000e-04, It/sec 4.754, Tokens/sec 622.785, Trained Tokens 1018, Peak mem 1.752 GB
Iter 17: Train loss 0.178, Learning Rate 1.000e-04, It/sec 6.742, Tokens/sec 195.517, Trained Tokens 1047, Peak mem 1.752 GB
Iter 18: Train loss 0.237, Learning Rate 1.000e-04, It/sec 6.799, Tokens/sec 346.735, Trained Tokens 1098, Peak mem 1.752 GB
Iter 19: Train loss 0.214, Learning Rate 1.000e-04, It/sec 4.739, Tokens/sec 469.183, Trained Tokens 1197, Peak mem 1.752 GB
Iter 20: Train loss 0.181, Learning Rate 1.000e-04, It/sec 5.897, Tokens/sec 182.801, Trained Tokens 1228, Peak mem 1.752 GB
Iter 21: Train loss 0.167, Learning Rate 1.000e-04, It/sec 5.070, Tokens/sec 501.972, Trained Tokens 1327, Peak mem 1.752 GB
Iter 22: Train loss 0.230, Learning Rate 1.000e-04, It/sec 5.597, Tokens/sec 430.960, Trained Tokens 1404, Peak mem 1.752 GB
Iter 23: Train loss 0.159, Learning Rate 1.000e-04, It/sec 6.746, Tokens/sec 209.119, Trained Tokens 1435, Peak mem 1.752 GB
Iter 24: Train loss 0.111, Learning Rate 1.000e-04, It/sec 5.490, Tokens/sec 258.028, Trained Tokens 1482, Peak mem 1.752 GB
Iter 25: Train loss 0.151, Learning Rate 1.000e-04, It/sec 5.624, Tokens/sec 399.326, Trained Tokens 1553, Peak mem 1.752 GB
Iter 26: Train loss 0.143, Learning Rate 1.000e-04, It/sec 3.678, Tokens/sec 525.969, Trained Tokens 1696, Peak mem 1.787 GB
Iter 27: Train loss 0.276, Learning Rate 1.000e-04, It/sec 3.683, Tokens/sec 482.415, Trained Tokens 1827, Peak mem 1.932 GB
Iter 28: Train loss 0.228, Learning Rate 1.000e-04, It/sec 3.779, Tokens/sec 457.267, Trained Tokens 1948, Peak mem 1.932 GB
Iter 29: Train loss 0.362, Learning Rate 1.000e-04, It/sec 6.089, Tokens/sec 468.887, Trained Tokens 2025, Peak mem 1.932 GB
Iter 30: Train loss 0.451, Learning Rate 1.000e-04, It/sec 5.652, Tokens/sec 288.235, Trained Tokens 2076, Peak mem 1.932 GB
Iter 31: Train loss 0.135, Learning Rate 1.000e-04, It/sec 5.096, Tokens/sec 667.633, Trained Tokens 2207, Peak mem 1.932 GB
Iter 32: Train loss 0.189, Learning Rate 1.000e-04, It/sec 4.226, Tokens/sec 418.354, Trained Tokens 2306, Peak mem 1.932 GB
Iter 33: Train loss 0.214, Learning Rate 1.000e-04, It/sec 4.512, Tokens/sec 500.795, Trained Tokens 2417, Peak mem 1.932 GB
Iter 34: Train loss 0.155, Learning Rate 1.000e-04, It/sec 4.676, Tokens/sec 565.772, Trained Tokens 2538, Peak mem 1.932 GB
Iter 35: Train loss 0.364, Learning Rate 1.000e-04, It/sec 6.729, Tokens/sec 201.867, Trained Tokens 2568, Peak mem 1.932 GB
Iter 36: Train loss 0.115, Learning Rate 1.000e-04, It/sec 4.657, Tokens/sec 610.075, Trained Tokens 2699, Peak mem 1.932 GB
Iter 37: Train loss 0.214, Learning Rate 1.000e-04, It/sec 5.616, Tokens/sec 286.399, Trained Tokens 2750, Peak mem 1.932 GB
Iter 38: Train loss 0.108, Learning Rate 1.000e-04, It/sec 3.893, Tokens/sec 556.714, Trained Tokens 2893, Peak mem 1.932 GB
Iter 39: Train loss 0.192, Learning Rate 1.000e-04, It/sec 5.541, Tokens/sec 365.699, Trained Tokens 2959, Peak mem 1.932 GB
Iter 40: Train loss 0.133, Learning Rate 1.000e-04, It/sec 4.628, Tokens/sec 661.861, Trained Tokens 3102, Peak mem 1.932 GB
Iter 41: Train loss 0.124, Learning Rate 1.000e-04, It/sec 6.159, Tokens/sec 190.938, Trained Tokens 3133, Peak mem 1.932 GB
Iter 42: Train loss 0.102, Learning Rate 1.000e-04, It/sec 5.088, Tokens/sec 157.729, Trained Tokens 3164, Peak mem 1.932 GB
Iter 43: Train loss 0.139, Learning Rate 1.000e-04, It/sec 6.069, Tokens/sec 297.397, Trained Tokens 3213, Peak mem 1.932 GB
Iter 44: Train loss 0.143, Learning Rate 1.000e-04, It/sec 7.362, Tokens/sec 220.847, Trained Tokens 3243, Peak mem 1.932 GB
Iter 45: Train loss 0.208, Learning Rate 1.000e-04, It/sec 6.330, Tokens/sec 322.823, Trained Tokens 3294, Peak mem 1.932 GB
Iter 46: Train loss 0.102, Learning Rate 1.000e-04, It/sec 7.282, Tokens/sec 211.189, Trained Tokens 3323, Peak mem 1.932 GB
Iter 47: Train loss 0.088, Learning Rate 1.000e-04, It/sec 7.280, Tokens/sec 218.391, Trained Tokens 3353, Peak mem 1.932 GB
Iter 48: Train loss 0.115, Learning Rate 1.000e-04, It/sec 7.452, Tokens/sec 231.023, Trained Tokens 3384, Peak mem 1.932 GB
Iter 49: Train loss 0.141, Learning Rate 1.000e-04, It/sec 6.830, Tokens/sec 204.911, Trained Tokens 3414, Peak mem 1.932 GB
Iter 50: Train loss 0.182, Learning Rate 1.000e-04, It/sec 6.145, Tokens/sec 301.126, Trained Tokens 3463, Peak mem 1.932 GB
Iter 51: Train loss 0.083, Learning Rate 1.000e-04, It/sec 7.401, Tokens/sec 229.418, Trained Tokens 3494, Peak mem 1.932 GB
Iter 52: Train loss 0.118, Learning Rate 1.000e-04, It/sec 6.541, Tokens/sec 202.786, Trained Tokens 3525, Peak mem 1.932 GB
Iter 53: Train loss 0.077, Learning Rate 1.000e-04, It/sec 6.014, Tokens/sec 186.436, Trained Tokens 3556, Peak mem 1.932 GB
Iter 54: Train loss 0.238, Learning Rate 1.000e-04, It/sec 4.828, Tokens/sec 246.236, Trained Tokens 3607, Peak mem 1.932 GB
Iter 55: Train loss 0.307, Learning Rate 1.000e-04, It/sec 4.541, Tokens/sec 649.416, Trained Tokens 3750, Peak mem 1.932 GB
Iter 56: Train loss 0.320, Learning Rate 1.000e-04, It/sec 5.366, Tokens/sec 262.930, Trained Tokens 3799, Peak mem 1.932 GB
Iter 57: Train loss 0.079, Learning Rate 1.000e-04, It/sec 6.120, Tokens/sec 299.880, Trained Tokens 3848, Peak mem 1.932 GB
Iter 58: Train loss 0.195, Learning Rate 1.000e-04, It/sec 6.099, Tokens/sec 189.059, Trained Tokens 3879, Peak mem 1.932 GB
Iter 59: Train loss 0.283, Learning Rate 1.000e-04, It/sec 4.449, Tokens/sec 636.200, Trained Tokens 4022, Peak mem 1.932 GB
Iter 60: Train loss 0.134, Learning Rate 1.000e-04, It/sec 5.779, Tokens/sec 173.376, Trained Tokens 4052, Peak mem 1.932 GB
Iter 61: Train loss 0.173, Learning Rate 1.000e-04, It/sec 5.593, Tokens/sec 509.003, Trained Tokens 4143, Peak mem 1.932 GB
Iter 62: Train loss 0.142, Learning Rate 1.000e-04, It/sec 6.763, Tokens/sec 344.931, Trained Tokens 4194, Peak mem 1.932 GB
Iter 63: Train loss 0.236, Learning Rate 1.000e-04, It/sec 5.990, Tokens/sec 281.523, Trained Tokens 4241, Peak mem 1.932 GB
Iter 64: Train loss 0.242, Learning Rate 1.000e-04, It/sec 4.351, Tokens/sec 526.444, Trained Tokens 4362, Peak mem 1.932 GB
Iter 65: Train loss 0.139, Learning Rate 1.000e-04, It/sec 5.155, Tokens/sec 644.319, Trained Tokens 4487, Peak mem 1.932 GB
Iter 66: Train loss 0.192, Learning Rate 1.000e-04, It/sec 5.592, Tokens/sec 167.764, Trained Tokens 4517, Peak mem 1.932 GB
Iter 67: Train loss 0.263, Learning Rate 1.000e-04, It/sec 6.003, Tokens/sec 288.139, Trained Tokens 4565, Peak mem 1.932 GB
Iter 68: Train loss 0.120, Learning Rate 1.000e-04, It/sec 5.598, Tokens/sec 554.229, Trained Tokens 4664, Peak mem 1.932 GB
Iter 69: Train loss 0.335, Learning Rate 1.000e-04, It/sec 7.519, Tokens/sec 225.569, Trained Tokens 4694, Peak mem 1.932 GB
Iter 70: Train loss 0.123, Learning Rate 1.000e-04, It/sec 4.790, Tokens/sec 474.174, Trained Tokens 4793, Peak mem 1.932 GB
Iter 71: Train loss 0.129, Learning Rate 1.000e-04, It/sec 5.129, Tokens/sec 446.197, Trained Tokens 4880, Peak mem 1.932 GB
Iter 72: Train loss 0.122, Learning Rate 1.000e-04, It/sec 5.970, Tokens/sec 423.841, Trained Tokens 4951, Peak mem 1.932 GB
Iter 73: Train loss 0.108, Learning Rate 1.000e-04, It/sec 5.193, Tokens/sec 472.601, Trained Tokens 5042, Peak mem 1.932 GB
Iter 74: Train loss 0.151, Learning Rate 1.000e-04, It/sec 6.061, Tokens/sec 309.092, Trained Tokens 5093, Peak mem 1.932 GB
Iter 75: Train loss 0.171, Learning Rate 1.000e-04, It/sec 5.145, Tokens/sec 365.307, Trained Tokens 5164, Peak mem 1.932 GB
Iter 76: Train loss 0.161, Learning Rate 1.000e-04, It/sec 6.645, Tokens/sec 338.877, Trained Tokens 5215, Peak mem 1.932 GB
Iter 77: Train loss 0.296, Learning Rate 1.000e-04, It/sec 5.684, Tokens/sec 289.899, Trained Tokens 5266, Peak mem 1.932 GB
