Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 5113.62it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.82it/s]
Iter 1: Val loss 3.053, Val took 0.103s
Iter 1: Train loss 3.035, Learning Rate 1.000e-04, It/sec 6.305, Tokens/sec 189.136, Trained Tokens 30, Peak mem 1.431 GB
Iter 2: Train loss 1.170, Learning Rate 1.000e-04, It/sec 5.390, Tokens/sec 415.027, Trained Tokens 107, Peak mem 1.431 GB
Iter 3: Train loss 1.991, Learning Rate 1.000e-04, It/sec 5.528, Tokens/sec 276.395, Trained Tokens 157, Peak mem 1.461 GB
Iter 4: Train loss 1.436, Learning Rate 1.000e-04, It/sec 5.032, Tokens/sec 357.262, Trained Tokens 228, Peak mem 1.461 GB
Iter 5: Train loss 0.863, Learning Rate 1.000e-04, It/sec 5.766, Tokens/sec 380.564, Trained Tokens 294, Peak mem 1.515 GB
Iter 6: Train loss 1.060, Learning Rate 1.000e-04, It/sec 6.268, Tokens/sec 319.671, Trained Tokens 345, Peak mem 1.515 GB
Iter 7: Train loss 0.922, Learning Rate 1.000e-04, It/sec 5.701, Tokens/sec 404.802, Trained Tokens 416, Peak mem 1.515 GB
Iter 8: Train loss 1.446, Learning Rate 1.000e-04, It/sec 5.106, Tokens/sec 158.273, Trained Tokens 447, Peak mem 1.515 GB
Iter 9: Train loss 0.470, Learning Rate 1.000e-04, It/sec 6.290, Tokens/sec 484.323, Trained Tokens 524, Peak mem 1.515 GB
Iter 10: Train loss 0.644, Learning Rate 1.000e-04, It/sec 6.620, Tokens/sec 205.232, Trained Tokens 555, Peak mem 1.515 GB
Iter 11: Train loss 0.584, Learning Rate 1.000e-04, It/sec 6.743, Tokens/sec 343.885, Trained Tokens 606, Peak mem 1.515 GB
Iter 12: Train loss 0.489, Learning Rate 1.000e-04, It/sec 3.978, Tokens/sec 497.266, Trained Tokens 731, Peak mem 1.752 GB
Iter 13: Train loss 0.213, Learning Rate 1.000e-04, It/sec 5.285, Tokens/sec 158.563, Trained Tokens 761, Peak mem 1.752 GB
Iter 14: Train loss 0.222, Learning Rate 1.000e-04, It/sec 5.259, Tokens/sec 163.041, Trained Tokens 792, Peak mem 1.752 GB
Iter 15: Train loss 0.282, Learning Rate 1.000e-04, It/sec 7.317, Tokens/sec 212.198, Trained Tokens 821, Peak mem 1.752 GB
Iter 16: Train loss 0.240, Learning Rate 1.000e-04, It/sec 3.811, Tokens/sec 499.247, Trained Tokens 952, Peak mem 1.752 GB
Iter 17: Train loss 0.164, Learning Rate 1.000e-04, It/sec 6.945, Tokens/sec 201.402, Trained Tokens 981, Peak mem 1.752 GB
Iter 18: Train loss 0.233, Learning Rate 1.000e-04, It/sec 6.557, Tokens/sec 334.410, Trained Tokens 1032, Peak mem 1.752 GB
Iter 19: Train loss 0.167, Learning Rate 1.000e-04, It/sec 6.695, Tokens/sec 515.497, Trained Tokens 1109, Peak mem 1.752 GB
Iter 20: Train loss 0.155, Learning Rate 1.000e-04, It/sec 6.002, Tokens/sec 186.060, Trained Tokens 1140, Peak mem 1.752 GB
Iter 21: Train loss 0.086, Learning Rate 1.000e-04, It/sec 6.840, Tokens/sec 526.655, Trained Tokens 1217, Peak mem 1.752 GB
Iter 22: Train loss 0.093, Learning Rate 1.000e-04, It/sec 6.697, Tokens/sec 515.636, Trained Tokens 1294, Peak mem 1.752 GB
Iter 23: Train loss 0.151, Learning Rate 1.000e-04, It/sec 6.848, Tokens/sec 212.298, Trained Tokens 1325, Peak mem 1.752 GB
Iter 24: Train loss 0.129, Learning Rate 1.000e-04, It/sec 5.537, Tokens/sec 260.238, Trained Tokens 1372, Peak mem 1.752 GB
Iter 25: Train loss 0.270, Learning Rate 1.000e-04, It/sec 5.640, Tokens/sec 400.475, Trained Tokens 1443, Peak mem 1.752 GB
Iter 26: Train loss 0.131, Learning Rate 1.000e-04, It/sec 6.748, Tokens/sec 519.576, Trained Tokens 1520, Peak mem 1.752 GB
Iter 27: Train loss 0.332, Learning Rate 1.000e-04, It/sec 4.140, Tokens/sec 542.298, Trained Tokens 1651, Peak mem 1.893 GB
Iter 28: Train loss 0.145, Learning Rate 1.000e-04, It/sec 6.692, Tokens/sec 515.266, Trained Tokens 1728, Peak mem 1.893 GB
Iter 29: Train loss 0.093, Learning Rate 1.000e-04, It/sec 6.742, Tokens/sec 519.142, Trained Tokens 1805, Peak mem 1.893 GB
Iter 30: Train loss 0.448, Learning Rate 1.000e-04, It/sec 5.610, Tokens/sec 286.098, Trained Tokens 1856, Peak mem 1.893 GB
Iter 31: Train loss 0.159, Learning Rate 1.000e-04, It/sec 4.726, Tokens/sec 619.059, Trained Tokens 1987, Peak mem 1.893 GB
Iter 32: Train loss 0.093, Learning Rate 1.000e-04, It/sec 6.721, Tokens/sec 517.538, Trained Tokens 2064, Peak mem 1.893 GB
Iter 33: Train loss 0.175, Learning Rate 1.000e-04, It/sec 4.481, Tokens/sec 497.350, Trained Tokens 2175, Peak mem 1.893 GB
Iter 34: Train loss 0.050, Learning Rate 1.000e-04, It/sec 6.826, Tokens/sec 525.568, Trained Tokens 2252, Peak mem 1.893 GB
